province,clusters_yield,allocated_sqkm,province_land_sqkm,province_cluster_share,regime,production_t,harvested_area_ha,allocated_production_t,allocated_harvested_area_ha
Benguet,6,509.13183967167765,2316.1883935803908,0.21981451987359965,rainfed,2729.0,1221.0,599.8738247350534,268.39352876566517
Benguet,7,44.67785553068784,2316.1883935803908,0.019289387536228993,irrigated,18978.29,5903.0,366.07959058493935,113.86525462635974
Benguet,7,44.67785553068784,2316.1883935803908,0.019289387536228993,rainfed,2729.0,1221.0,52.640738586368926,23.5523421817356
Biliran,3,171.68444956232764,865.636302229143,0.19833323662629965,irrigated,53609.0,12303.0,10632.446482299298,2440.0938102133646
Biliran,3,171.68444956232764,865.636302229143,0.19833323662629965,rainfed,0.0,0.0,0.0,0.0
Biliran,4,294.634052993633,865.636302229143,0.3403670250830588,irrigated,53609.0,12303.0,18246.7358476777,4187.5355095968725
Biliran,4,294.634052993633,865.636302229143,0.3403670250830588,rainfed,0.0,0.0,0.0,0.0
Biliran,8,399.31779967318226,865.636302229143,0.46129973829064147,irrigated,53609.0,12303.0,24729.817670023,5675.370680189762
Biliran,8,399.31779967318226,865.636302229143,0.46129973829064147,rainfed,0.0,0.0,0.0,0.0
Bohol,1,102.53619295379195,5848.781035927643,0.017531207327464816,irrigated,122071.7,38243.0,2140.064281516087,670.445961824237
Bohol,1,102.53619295379195,5848.781035927643,0.017531207327464816,rainfed,66761.08,26766.0,1170.4023348854648,469.2402953269233
Bohol,3,5282.618233502914,5848.781035927643,0.903199863536192,irrigated,122071.7,38243.0,110255.14278163096,34541.07238121459
Bohol,3,5282.618233502914,5848.781035927643,0.903199863536192,rainfed,66761.08,26766.0,60298.59834552879,24175.047547409715
Bohol,4,463.62660947093616,5848.781035927643,0.07926892913634317,irrigated,122071.7,38243.0,9676.492936852943,3031.481656961172
Bohol,4,463.62660947093616,5848.781035927643,0.07926892913634317,rainfed,66761.08,26766.0,5292.079319585738,2121.7121572633614
Bukidnon,1,1559.4853423761383,7986.642490830418,0.19526169403057747,irrigated,426455.89,85985.0,83270.49951071761,16789.576761219203
Bukidnon,1,1559.4853423761383,7986.642490830418,0.19526169403057747,rainfed,58241.64,14820.0,11372.361289519042,2893.778305533158
Bukidnon,2,2838.62321490583,7986.642490830418,0.3554213448473367,irrigated,426455.89,85985.0,151571.52594186788,30560.904336698244
Bukidnon,2,2838.62321490583,7986.642490830418,0.3554213448473367,rainfed,58241.64,14820.0,20700.322014914436,5267.344330637529
Bukidnon,3,1913.137841264538,7986.642490830418,0.23954219103472327,irrigated,426455.89,85985.0,102154.17827026294,20597.03529612068
Bukidnon,3,1913.137841264538,7986.642490830418,0.23954219103472327,rainfed,58241.64,14820.0,13951.33005505558,3550.0152711345986
Bukidnon,4,1675.3960922839115,7986.642490830418,0.20977477008736253,irrigated,426455.89,85985.0,89459.68627715157,18037.48360596187
Bukidnon,4,1675.3960922839115,7986.642490830418,0.20977477008736253,rainfed,58241.64,14820.0,12217.626640510936,3108.862092694713
Bulacan,3,1225.558828133793,2209.9900430062758,0.554554004445491,irrigated,306751.77,68236.78,170110.42242424222,37840.97959946599
Bulacan,3,1225.558828133793,2209.9900430062758,0.554554004445491,rainfed,54502.05,13150.0,30224.330077988372,7292.385158458206
Bulacan,4,221.9406096426185,2209.9900430062758,0.10042606768522362,irrigated,306751.77,68236.78,30805.87401658215,6852.751486901713
Bulacan,4,221.9406096426185,2209.9900430062758,0.10042606768522362,rainfed,54502.05,13150.0,5473.426562283443,1320.6027900606907
Bulacan,5,613.7657035958721,2209.9900430062758,0.2777232890881985,irrigated,306751.77,68236.78,85192.11049802658,18950.9429783878
Bulacan,5,613.7657035958721,2209.9900430062758,0.2777232890881985,rainfed,54502.05,13150.0,15136.48858804945,3652.06125150981
